date,oversized blazer,wide-leg jeans,cargo pants,ballet flats,puffer jacket,slip dress,trench coat,chunky sneakers,year,week_in_year
2021-01-03,45.782517057472994,42.71437396111089,44.07076535954356,46.54413463337458,80.66396022162195,19.130792793313898,48.44390668176131,50.722287231354535,0,1
2021-01-10,46.744213555387844,39.550787991107526,36.982771379452984,45.90313598348368,84.27387694085319,18.740786347314696,47.42132919220537,56.40484523057407,0,2
2021-01-17,44.35487570248653,38.62427209372964,32.55623990251656,46.14798010646369,81.02031338001962,19.61924090101492,42.08633893087416,66.65321474121103,0,3
2021-01-24,48.15318942298789,36.681342824374845,42.79745643728611,38.99777478470128,70.17425945946646,24.210161474051013,43.151820302555,63.92502475712178,0,4
2021-01-31,46.74599380746872,44.55009005902734,33.771074482082476,53.78813405017865,70.8453395957848,20.068561642330693,42.33044368272898,65.61075056301468,0,5
2021-02-07,39.11574599799488,36.09097679184744,35.68468856528979,45.75465393098368,71.15844079789021,28.972061049522193,40.97369420092336,65.54195708329289,0,6
2021-02-14,46.57799017215979,36.830392967055914,33.11791885595043,55.37103389998646,66.83179935949218,21.390551393893148,41.304947506236324,62.26463199547208,0,7
2021-02-21,51.43908512595044,40.47457812457353,41.50053867226666,45.60300725187473,59.744652805681916,32.03896309812113,37.65108470106239,57.26703238020339,0,8
2021-02-28,43.17515461124712,32.89498795113074,34.208792107133156,48.20313748647094,61.79600466649043,26.16519408318541,42.95917584894792,54.35743171665717,0,9
2021-03-07,48.40947561172523,41.93797718257162,34.86712031664131,44.67657962845455,57.1524401036962,31.390864513270756,38.99299268246601,62.439758298517035,0,10
2021-03-14,52.49227862206758,39.604715771929115,38.622023253070566,52.975617748928485,59.36372305450489,32.21711946730182,34.22890759602575,57.370375396326715,0,11
2021-03-21,44.91427204538532,40.030753454860005,35.574234974334004,49.15634499143633,49.24726481914009,35.018644250020124,36.1778231226726,66.25350373617054,0,12
2021-03-28,46.436555852341066,38.60899684081852,32.323494332867305,49.78876479085382,49.89802328741769,40.83536618647157,35.632570599467485,53.880476294209544,0,13
2021-04-04,41.508083470739216,36.07171563543843,36.16226609223905,49.4259402419777,39.033576846338974,45.28158014882436,38.39082833417013,62.18671951114777,0,14
2021-04-11,49.034489586064716,33.02235253300312,40.92195705952971,56.40992290197729,36.29752397941039,46.62496271871724,32.54802047735561,52.50822773937182,0,15
2021-04-18,42.373688672052985,35.499594773613005,30.95251597956328,56.75265544993944,38.24966022668488,43.985466011811035,36.366671637672084,57.20608364218708,0,16
2021-04-25,40.981611793522056,32.764357129579906,28.94006702864078,60.60218952299136,36.243582605565805,47.73618995546253,34.01704755810205,57.26950070339589,0,17
2021-05-02,42.89613000310216,36.986152997586125,27.83894526841603,53.657004869913,27.27761804422939,46.627832156523986,38.305949607906406,44.92470711124665,0,18
2021-05-09,38.62908256506684,37.85121409153511,31.00464301498923,56.90117479020738,27.670455806446142,47.57894081526394,37.76257206133232,45.55406349130818,0,19
2021-05-16,31.716406697944297,39.82083202076599,21.93777108351239,52.861169060531076,21.229888366464532,48.47678471520235,34.669048054611046,41.82700644154452,0,20
2021-05-23,30.073298554492577,36.50550655315186,21.811057205091345,56.12381975164994,22.96738925923838,51.752875128016385,33.62388143235263,39.54615640716735,0,21
2021-05-30,31.244287695925713,38.182729205136326,15.443091220216312,55.84210301600909,24.54496070241656,54.766859715267415,36.42491876272046,45.746024620736485,0,22
2021-06-06,25.808575012825006,34.53159898820293,15.668034725246223,58.88426519884966,19.660195841046043,49.05829286609222,35.037098092318914,41.07312045945027,0,23
2021-06-13,19.527501976238554,33.974544919385906,17.3449700822331,60.413423798074355,19.57166681728561,55.2758153239726,41.48551872547439,41.08234942323623,0,24
2021-06-20,24.279143151845442,36.770519382687944,18.457205497008587,59.95294545240913,16.71490723464988,60.448442458290465,37.74597977740655,42.39308099392556,0,25
2021-06-27,18.979182458751517,34.07296376986764,25.30885331832643,53.797044410791905,18.379410591474354,59.62734980569239,37.556705460726015,32.3497654019076,0,26
2021-07-04,27.700031932557913,35.86414632608346,20.23019830554064,58.39667164627314,26.25037165539949,54.744094871688745,38.84054276610029,44.86672531279747,0,27
2021-07-11,23.259138877848624,31.647449716177842,14.588388130042723,54.09704076319001,22.2683245526476,52.41349559494461,38.18216871646849,38.58378760538207,0,28
2021-07-18,20.301620470803392,31.929214641491047,15.747198880875233,51.876914649766995,20.522721791687985,57.93391668374376,45.21134268181818,42.6606141243758,0,29
2021-07-25,21.559725621704366,36.21771374326204,24.811929239374273,49.19603623769735,24.450847799543066,49.37047036101886,42.874327296104,43.80845322927612,0,30
2021-08-01,18.898997932721453,36.73301143354205,24.6537932736682,48.0273199902756,22.827124199118778,59.2088535012235,50.44256167452839,47.78965268103252,0,31
2021-08-08,22.370252006054812,30.93167919642101,21.22019561549118,53.302166925763,27.12798304021835,54.551871627102706,45.0517894340802,42.99253739859627,0,32
2021-08-15,29.929243395098275,35.79761069974448,20.37079346366399,47.41230356985617,37.092622847337,59.73730474640301,51.013871318955275,36.08820249905056,0,33
2021-08-22,34.829130739779245,32.18747083860925,27.70108706336493,45.53098796914409,35.674333535220256,47.837958017148,55.659588145198114,45.99548797214116,0,34
2021-08-29,31.55640293337495,33.9517371859263,20.279754640822052,42.88317931493738,45.06837658276184,54.273979877068,47.16817372415373,47.726526217347136,0,35
2021-09-05,30.300906837262108,38.39191839515719,26.83949812605739,49.84635114952192,42.56085606463671,49.45747366918037,60.907765056126735,43.88720548421538,0,36
2021-09-12,30.421297754481326,36.922651803436075,35.333081930487786,45.45469700045502,46.29566198871857,46.769737559227,54.598784481423344,49.641741659676406,0,37
2021-09-19,29.92664431070375,37.358469133321584,27.98289578397986,38.60622073077167,51.936994461758516,41.45751397728853,57.10265146187448,48.55535451665803,0,38
2021-09-26,40.00211048059216,41.26575823413868,24.927801219793636,39.37373464252814,45.608451205421304,45.00215213315049,58.977475948340114,45.49669575832676,0,39
2021-10-03,34.2458648312212,34.07718919336113,30.495922835070175,39.16330599886581,57.801238842087486,42.783187046041746,59.80537724120857,54.34764421442337,0,40
2021-10-10,42.127765356076125,33.94290292841437,27.761281677590027,40.028666555384184,60.49583361207457,43.59259179908835,58.597372362440844,50.133587035626284,0,41
2021-10-17,40.925310538558946,35.489102387802106,24.82122313238736,37.43160056028819,68.40283282340934,38.737020269701,60.70884561995297,51.42962268720767,0,42
2021-10-24,32.493668350865896,37.67170234987977,33.93291216608722,40.94062241793789,69.93789110994999,31.449157142199777,59.01631047982273,51.81708514767576,0,43
2021-10-31,36.704812129843795,32.15881421473924,36.30882942112377,44.20002337904354,66.49378033648496,27.82587392026002,62.29613316290708,59.17089221863312,0,44
2021-11-07,37.70059912240965,39.37918351584694,31.28073405945773,36.240064872891736,76.18244317174073,24.470069788968026,57.95853895360619,54.577714214675865,0,45
2021-11-14,40.4904346236948,39.12431227401509,31.678712971194575,37.23907793708251,73.90298652483088,30.903616009958654,61.499988922819355,55.52051497161334,0,46
2021-11-21,41.5833923372342,43.83080349981676,29.977587689895305,39.710412293923596,73.85056512626687,22.262768117857316,57.374222945401456,53.85258087013048,0,47
